kepid,koi_disposition,kepler_name,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
10797460,CONFIRMED,Kepler-227 b,1.3415436,1.4573013,0.0,1.2337772,0.0,1.1432849,1.4565622,1.3959299,0.0,0.0,0.0,1.4814775,0.0,0.0,0.0,1.6233647,0.0,1.2030141,1.4539005,0.0,0.0,1.4078238,1.3157377,0.0,1.7484322,0.0,0.0,0.0,0.0,1.6262844,1.3649737,0.0
10797460,CONFIRMED,Kepler-227 b,1.4423057,1.5950621,0.0,1.40636,0.0,1.0829239,1.3144543,1.3264711,0.0,0.0,0.0,1.447529,0.0,0.0,0.0,1.5981563,0.0,1.394014,1.4073322,0.0,0.0,1.3467164,1.3663789,0.0,1.50512,0.0,0.0,0.0,0.0,1.4564943,1.3249449,0.0
10811496,CANDIDATE,,0.0,0.0,0.9476477,0.0,0.9637912,0.0,0.0,0.0,0.91138595,0.6967516,0.98386765,0.0,0.8055636,0.82590127,1.0213362,0.0,1.1829401,0.0,0.0,1.0601307,0.9301085,0.0,0.0,0.77871835,0.0,0.8255391,0.79474586,1.1072061,0.8762473,0.0,0.0,0.48687172
10848459,FALSE POSITIVE,,0.3399294,0.50477695,0.0,0.52094793,0.0,0.41004845,0.58184373,0.48169917,0.0,0.0,0.0,0.56368095,0.0,0.0,0.0,0.5634319,0.0,0.25104225,0.47328436,0.0,0.0,0.45008877,0.3312543,0.0,0.6778828,0.0,0.0,0.0,0.0,0.52693117,0.29157555,0.0
10854555,CONFIRMED,Kepler-664 b,0.0,0.0,0.61569923,0.0,0.32806215,0.0,0.0,0.0,0.71481127,0.7178816,0.41274145,0.0,0.6156878,0.82177895,0.37999886,0.0,0.6970825,0.0,0.0,0.68760943,0.519878,0.0,0.0,0.685514,0.0,0.4392761,0.370633,0.42053428,0.68161947,0.0,0.0,0.40378946
6721123,FALSE POSITIVE,,1.461032,1.6116407,0.0,1.6294926,0.0,1.279297,1.643229,1.4368956,0.0,0.0,0.0,1.6355085,0.0,0.0,0.0,1.7949466,0.0,1.6607443,1.5713593,0.0,0.0,1.5389245,1.5181782,0.0,1.8438835,0.0,0.0,0.0,0.0,1.5620226,1.615652,0.0
10910878,CONFIRMED,Kepler-229 c,0.17056862,0.6605544,0.0,0.46852595,0.0,0.6549976,0.4998619,0.4813323,0.0,0.0,0.0,0.40337545,0.0,0.0,0.0,0.5500359,0.0,0.3475544,0.35540172,0.0,0.0,0.2838282,0.6777189,0.0,0.5414401,0.0,0.0,0.0,0.0,0.8882351,0.23988387,0.0
11446443,CONFIRMED,Kepler-1 b,0.31991473,0.64100134,0.0,0.5061156,0.0,0.4821478,0.5550943,0.4465572,0.0,0.0,0.0,0.5659031,0.0,0.0,0.0,0.5894068,0.0,0.5158065,0.6488848,0.0,0.0,0.49329358,0.6977278,0.0,0.7415834,0.0,0.0,0.0,0.0,0.76822484,0.40266466,0.0
6922244,CONFIRMED,Kepler-8 b,1.099505,1.3461797,0.0,1.0949134,0.0,1.089287,1.2688887,1.0832715,0.0,0.0,0.0,1.1498054,0.0,0.0,0.0,1.4804368,0.0,1.1105949,1.2290149,0.0,0.0,0.9777435,1.0730852,0.0,1.2989883,0.0,0.0,0.0,0.0,1.3542151,1.1783762,0.0
10984090,CONFIRMED,Kepler-466 c,0.0,0.0,1.3289856,0.0,1.3374676,0.0,0.0,0.0,1.2848232,1.2555467,1.3641273,0.0,1.2346743,1.3092968,1.4338309,0.0,1.6694618,0.0,0.0,1.5077431,1.2847078,0.0,0.0,1.2788708,0.0,1.2608153,1.3239627,1.4243509,1.0982649,0.0,0.0,0.93168277
10419211,FALSE POSITIVE,,0.0,0.0,0.4663844,0.0,0.13803835,0.0,0.0,0.0,0.3117053,0.29507005,0.66638297,0.0,0.3373977,0.47311082,0.65105754,0.0071118474,0.66620094,0.0,0.0,0.593878,0.64788043,0.0,0.0,0.6552083,0.0,0.5479017,0.4619298,0.68964803,0.39756975,0.0,0.0,0.04353004
10464078,FALSE POSITIVE,,0.18095988,0.0,0.7562245,0.0,0.6368994,0.0,0.0,0.0,0.4754534,0.38945425,0.7038028,0.0,0.41141358,0.6624074,1.1774093,0.0,1.2652189,0.19090928,0.0,0.5816743,1.7323246,0.0,0.0,1.0419867,0.0,0.45849115,0.6299962,0.3249194,0.17583379,0.0,0.0,0.0
10480982,FALSE POSITIVE,,0.0,0.0775937,0.18291861,0.22775805,0.0,0.0,0.10315531,0.28289953,0.0,0.0,0.0,0.12172597,0.045545988,0.044644427,0.25657016,0.29409185,0.0,0.14066239,0.13660423,0.1418239,0.3778789,0.0,0.19415519,0.087971106,0.23693699,0.0,0.22976658,0.20453075,0.0,0.18866724,0.0,0.0333222
10485250,FALSE POSITIVE,,0.61466575,0.7482548,0.0,0.8734295,0.0,0.6579691,0.88511336,0.78620636,0.0,0.0,0.0,0.8449475,0.0,0.0,0.0,0.96271735,0.0,0.6542472,0.8338172,0.0,0.0,0.6751976,0.74258184,0.0,0.9955325,0.0,0.0,0.0,0.0,0.9330968,0.5453139,0.0
10526549,CONFIRMED,Kepler-660 b,0.3657035,0.6757002,0.0,0.7623356,0.0,0.68776536,0.68463635,0.42298886,0.0,0.0,0.0,0.7645629,0.0,0.0,0.0,0.7202958,0.0,0.6485278,0.73835653,0.0,0.0,0.8305726,0.83088255,0.0,0.8899035,0.0,0.0,0.0,0.0,0.82913256,0.49716035,0.0
10583066,CONFIRMED,Kepler-661 b,0.0,0.0,1.1437862,0.0,0.29749876,0.0,0.0,0.0,0.6287483,0.9955899,0.73478186,0.0,1.0201234,0.897996,0.6581429,0.0,0.09067333,0.0,0.0,0.68571734,0.43053737,0.0,0.0,0.0,0.0,1.3468189,0.8872489,0.4946907,0.9360461,0.0,0.0,0.83789366
